client_id,gender,purchase_datetime,purchase_time_as_seconds_from_midnight,product_id,quantity,price_per_item,discount_per_item,total_price,date
167837,F,2026-07-13,74297,45363,13,15749,5647,131326,2026-07-13
390448,M,2026-07-13,61062,20412,11,94455,86379,88836,2026-07-13
560970,M,2026-07-13,84414,39933,55,48876,4173,2458665,2026-07-13
92149,F,2026-07-13,15384,14511,48,17856,15242,125472,2026-07-13
501835,M,2026-07-13,67654,45463,27,90872,32727,1569915,2026-07-13
270913,F,2026-07-13,30636,16032,82,49815,29106,1698138,2026-07-13
261062,M,2026-07-13,45717,29401,23,34821,25866,205965,2026-07-13
732351,M,2026-07-13,54329,10513,2,8853,8063,1580,2026-07-13
800383,M,2026-07-13,76559,17913,26,53807,44842,233090,2026-07-13
680920,F,2026-07-13,21568,23508,5,59203,9836,246835,2026-07-13
450135,M,2026-07-13,77924,14168,0,65056,61790,0,2026-07-13
122736,M,2026-07-13,72661,26075,26,96954,1196,2489708,2026-07-13
320392,F,2026-07-13,65433,26678,28,25044,1413,661668,2026-07-13
130146,M,2026-07-13,13045,27037,43,55343,2396,2276721,2026-07-13
940492,M,2026-07-13,70564,4072,20,81413,44093,746400,2026-07-13
450260,M,2026-07-13,3303,43423,50,83075,15162,3395650,2026-07-13
103475,M,2026-07-13,1467,48559,30,85602,39289,1389390,2026-07-13
360755,F,2026-07-13,74491,10016,15,34842,21564,199170,2026-07-13
993272,M,2026-07-13,54618,49063,34,10519,1483,307224,2026-07-13
529010,M,2026-07-13,49117,24545,24,96139,63857,774768,2026-07-13
195316,M,2026-07-13,32380,36004,31,44082,34406,299956,2026-07-13
166155,M,2026-07-13,70912,43370,50,94111,32671,3072000,2026-07-13
726552,M,2026-07-13,58028,3250,20,2483,562,38420,2026-07-13
228598,F,2026-07-13,55518,10962,59,22457,18398,239481,2026-07-13
755238,M,2026-07-13,68131,1957,5,97136,80704,82160,2026-07-13
510655,F,2026-07-13,64190,700,26,4484,1882,67652,2026-07-13
181083,F,2026-07-13,48391,5254,21,63571,57160,134631,2026-07-13
673288,M,2026-07-13,22911,41911,60,17736,4591,788700,2026-07-13
76120,F,2026-07-13,11353,133,72,28314,20240,581328,2026-07-13
761647,M,2026-07-13,15989,26460,40,32046,4646,1096000,2026-07-13
273947,M,2026-07-13,39692,10594,19,75194,71569,68875,2026-07-13
744485,M,2026-07-13,7949,920,14,69913,29883,560420,2026-07-13
920737,F,2026-07-13,20635,4862,27,34740,5094,800442,2026-07-13
263950,M,2026-07-13,65430,16971,71,52754,32449,1441655,2026-07-13
441908,F,2026-07-13,60527,28567,20,9261,15,184920,2026-07-13
250149,F,2026-07-13,17889,41629,84,35774,24341,960372,2026-07-13
47564,F,2026-07-13,41974,28942,48,70122,32727,1794960,2026-07-13
225650,F,2026-07-13,15605,43809,45,34301,9066,1135575,2026-07-13
894520,F,2026-07-13,36550,42780,4,86731,12028,298812,2026-07-13
190938,F,2026-07-13,4707,29280,63,56671,6806,3141495,2026-07-13
601713,F,2026-07-13,65968,40187,39,81551,63434,706563,2026-07-13
85240,F,2026-07-13,67649,46839,4,82505,62271,80936,2026-07-13
413966,M,2026-07-13,8227,14254,46,98069,62742,1625042,2026-07-13
280649,F,2026-07-13,36334,3268,52,70346,61032,484328,2026-07-13
941078,F,2026-07-13,16968,31140,28,61,6,1540,2026-07-13
594591,M,2026-07-13,17697,42060,38,22746,2605,765358,2026-07-13
473969,M,2026-07-13,24628,963,43,42315,33679,371348,2026-07-13
903968,F,2026-07-13,60054,48977,60,77846,76623,73380,2026-07-13
769967,M,2026-07-13,31814,13381,33,78318,35312,1419198,2026-07-13
172502,F,2026-07-13,76019,10858,67,81551,80103,97016,2026-07-13
503667,F,2026-07-13,58214,7163,12,40741,35651,61080,2026-07-13
344041,M,2026-07-13,18653,22711,48,39982,23193,805872,2026-07-13
561077,F,2026-07-13,74658,18970,33,79824,20290,1964622,2026-07-13
795764,M,2026-07-13,59417,20159,5,51364,49387,9885,2026-07-13
386373,F,2026-07-13,55827,34459,42,723,626,4074,2026-07-13
795473,M,2026-07-13,55181,41086,4,51680,15598,144328,2026-07-13
36859,F,2026-07-13,23881,172,13,53515,17982,461929,2026-07-13
986177,M,2026-07-13,72941,8746,28,55190,43476,327992,2026-07-13
517635,M,2026-07-13,32121,3703,64,54178,3521,3242048,2026-07-13
847862,F,2026-07-13,44738,14669,60,33970,21000,778200,2026-07-13
358049,M,2026-07-13,40542,5048,31,67407,34517,1019590,2026-07-13
861998,F,2026-07-13,71524,24959,19,31063,17462,258419,2026-07-13
427943,F,2026-07-13,85516,14587,46,61724,25788,1653056,2026-07-13
299314,M,2026-07-13,67045,3845,19,77021,12886,1218565,2026-07-13
439006,F,2026-07-13,10545,35369,5,35165,4526,153195,2026-07-13
369037,F,2026-07-13,20871,43353,27,17400,6880,284040,2026-07-13
558033,F,2026-07-13,7887,20788,4,27019,19808,28844,2026-07-13
543416,F,2026-07-13,59376,45243,6,34859,11769,138540,2026-07-13
461175,F,2026-07-13,11869,41787,32,46042,23251,729312,2026-07-13
830834,F,2026-07-13,56669,42619,3,33636,10222,70242,2026-07-13
628308,M,2026-07-13,19308,6902,18,18617,8327,185220,2026-07-13
763077,F,2026-07-13,19198,34563,12,5078,4028,12600,2026-07-13
163267,M,2026-07-13,80470,8998,38,35300,26042,351804,2026-07-13
545993,M,2026-07-13,12988,167,36,26576,2506,866520,2026-07-13
525455,F,2026-07-13,4607,47973,21,27127,25806,27741,2026-07-13
777263,F,2026-07-13,53259,3759,11,33350,14178,210892,2026-07-13
136928,F,2026-07-13,78319,3499,21,15055,2446,264789,2026-07-13
473643,F,2026-07-13,23737,29632,9,28347,17846,94509,2026-07-13
247073,F,2026-07-13,39985,30452,28,36864,28551,232764,2026-07-13
131066,M,2026-07-13,79191,46210,27,8787,6341,66042,2026-07-13
909305,M,2026-07-13,67554,17524,3,59811,3038,170319,2026-07-13
427848,F,2026-07-13,30564,19588,76,44687,27255,1324832,2026-07-13
520528,M,2026-07-13,86340,31275,57,12422,11534,50616,2026-07-13
334224,M,2026-07-13,81822,13467,13,14687,13710,12701,2026-07-13
791443,M,2026-07-13,19631,7099,16,34863,31819,48704,2026-07-13
9651,M,2026-07-13,52990,43677,14,52714,29440,325836,2026-07-13
825854,M,2026-07-13,18259,26940,51,27935,18338,489447,2026-07-13
551993,F,2026-07-13,10740,2177,71,69402,15587,3820865,2026-07-13
530831,F,2026-07-13,4100,11849,77,84352,44732,3050740,2026-07-13
423029,M,2026-07-13,51515,16782,38,13715,6077,290244,2026-07-13
994499,F,2026-07-13,66580,7715,24,82660,74421,197736,2026-07-13
649797,F,2026-07-13,79484,31916,25,2813,230,64575,2026-07-13
834524,F,2026-07-13,31063,31351,20,95936,627,1906180,2026-07-13
894493,F,2026-07-13,25504,4870,53,16621,12615,212318,2026-07-13
716604,M,2026-07-13,33138,32288,27,50752,46920,103464,2026-07-13
86685,F,2026-07-13,38576,48427,6,18522,8913,57654,2026-07-13
530991,M,2026-07-13,4476,48566,13,15759,10581,67314,2026-07-13
244325,F,2026-07-13,31403,42145,20,2138,1707,8620,2026-07-13
950169,F,2026-07-13,47692,47767,14,92187,31616,847994,2026-07-13
312812,F,2026-07-13,40150,22644,73,59037,55985,222796,2026-07-13
996668,M,2026-07-13,30208,37941,11,73342,52196,232606,2026-07-13
458965,M,2026-07-13,73002,26048,6,323,59,1584,2026-07-13
859290,M,2026-07-13,16730,30318,69,83986,8191,5229855,2026-07-13
238147,F,2026-07-13,77880,28648,43,69221,22150,2024053,2026-07-13
880492,M,2026-07-13,31446,43264,70,74358,19272,3856020,2026-07-13
223013,M,2026-07-13,19287,34519,62,1134,105,63798,2026-07-13
287782,M,2026-07-13,8496,3043,35,75972,37599,1343055,2026-07-13
832297,F,2026-07-13,36533,34456,14,23701,23007,9716,2026-07-13
996440,M,2026-07-13,41420,13870,55,714,56,36190,2026-07-13
404239,F,2026-07-13,26079,34487,32,17239,2095,484608,2026-07-13
773961,F,2026-07-13,73392,2777,1,98211,73672,24539,2026-07-13
11893,F,2026-07-13,70183,23674,43,82185,46750,1523705,2026-07-13
158737,M,2026-07-13,34212,22979,66,45101,2526,2809950,2026-07-13
980028,M,2026-07-13,62539,43573,7,10056,5378,32746,2026-07-13
123502,F,2026-07-13,34470,23877,33,25272,7398,589842,2026-07-13
345372,M,2026-07-13,83779,28843,25,48545,32642,397575,2026-07-13
688065,M,2026-07-13,18168,41484,13,13278,5827,96863,2026-07-13
209476,M,2026-07-13,63541,27720,11,57716,19922,415734,2026-07-13
323879,F,2026-07-13,86275,38375,45,59988,25207,1565145,2026-07-13
463181,M,2026-07-13,69027,1609,1,46352,425,45927,2026-07-13
308542,F,2026-07-13,31768,9139,16,80680,17042,1018208,2026-07-13
179434,F,2026-07-13,79566,5536,16,75748,39368,582080,2026-07-13
478466,F,2026-07-13,82667,29031,41,43042,20111,940171,2026-07-13
180830,F,2026-07-13,6555,40149,49,10452,8326,104174,2026-07-13
33764,F,2026-07-13,70528,26826,12,67984,127,814284,2026-07-13
973952,F,2026-07-13,55516,46035,91,60962,17451,3959501,2026-07-13
221792,F,2026-07-13,17989,26070,44,12773,6105,293392,2026-07-13
170197,F,2026-07-13,77098,39619,33,91521,32566,1945515,2026-07-13
452525,M,2026-07-13,50873,35240,63,16014,7784,518490,2026-07-13
961209,M,2026-07-13,77162,44925,79,94234,9965,6657251,2026-07-13
393374,M,2026-07-13,1150,46303,78,81049,30567,3937596,2026-07-13
332904,M,2026-07-13,34037,48432,43,92687,75015,759896,2026-07-13
149378,F,2026-07-13,12599,11339,53,76797,24005,2797976,2026-07-13
832310,F,2026-07-13,16913,25201,13,80181,54833,329524,2026-07-13
151051,M,2026-07-13,12892,28556,34,52059,2666,1679362,2026-07-13
343281,M,2026-07-13,74073,48883,4,85241,204,340148,2026-07-13
943858,F,2026-07-13,74845,39228,12,42724,4866,454296,2026-07-13
629474,M,2026-07-13,79400,15670,46,13249,6844,294630,2026-07-13
300887,F,2026-07-13,60978,5762,23,46038,10638,814200,2026-07-13
449405,F,2026-07-13,54115,24548,58,38825,12262,1540654,2026-07-13
447238,F,2026-07-13,47828,36139,9,96948,78832,163044,2026-07-13
220891,F,2026-07-13,29169,31405,20,99141,52264,937540,2026-07-13
676310,F,2026-07-13,60058,40208,4,51803,29848,87820,2026-07-13
318659,M,2026-07-13,31754,27387,55,12576,9001,196625,2026-07-13
850886,M,2026-07-13,33059,37658,2,92612,54857,75510,2026-07-13
595848,M,2026-07-13,24917,25609,68,65823,51854,949892,2026-07-13
867593,M,2026-07-13,9368,41606,5,37438,27755,48415,2026-07-13
192983,F,2026-07-13,71440,33286,34,54022,1688,1779356,2026-07-13
391704,F,2026-07-13,57857,14761,15,6456,1086,80550,2026-07-13
664645,M,2026-07-13,48963,6074,28,84062,67990,450016,2026-07-13
688805,F,2026-07-13,74007,5620,19,18843,16158,51015,2026-07-13
673968,M,2026-07-13,42650,10174,20,58210,2323,1117740,2026-07-13
737742,F,2026-07-13,80126,13232,31,47222,34884,382478,2026-07-13
19276,M,2026-07-13,66441,39872,31,73823,68969,150474,2026-07-13
794258,M,2026-07-13,15597,14558,11,78124,5799,795575,2026-07-13
296180,F,2026-07-13,53388,40878,42,64503,17330,1981266,2026-07-13
913277,F,2026-07-13,19505,29077,24,85862,15640,1685328,2026-07-13
614824,M,2026-07-13,22954,42616,15,75898,44398,472500,2026-07-13
135328,F,2026-07-13,82314,6809,37,93055,17021,2813258,2026-07-13
267029,M,2026-07-13,47758,46843,73,70678,1793,5028605,2026-07-13
726470,M,2026-07-13,7471,38493,39,98970,14259,3303729,2026-07-13
895742,F,2026-07-13,29475,28577,81,24691,14388,834543,2026-07-13
778395,M,2026-07-13,32407,14987,52,7747,2639,265616,2026-07-13
149179,M,2026-07-13,54472,36389,69,44166,8943,2430387,2026-07-13
326034,F,2026-07-13,29040,7697,20,80907,59926,419620,2026-07-13
27913,F,2026-07-13,45343,17959,13,80792,4928,986232,2026-07-13
24475,M,2026-07-13,74810,49480,11,76352,8091,750871,2026-07-13
655618,M,2026-07-13,56919,49955,15,63401,53678,145845,2026-07-13
212786,F,2026-07-13,80222,36135,44,59636,37977,952996,2026-07-13
227301,M,2026-07-13,24563,7127,26,94398,59998,894400,2026-07-13
474942,F,2026-07-13,5961,1963,32,71344,54592,536064,2026-07-13
593477,F,2026-07-13,83926,20765,1,66211,16749,49462,2026-07-13
815606,M,2026-07-13,32452,39581,11,14670,1137,148863,2026-07-13
552113,M,2026-07-13,73855,13142,18,51359,27296,433134,2026-07-13
916791,F,2026-07-13,69851,42547,31,84040,283,2596467,2026-07-13
467677,M,2026-07-13,65075,46376,23,37949,14797,532496,2026-07-13
168283,M,2026-07-13,6383,37740,52,43330,9259,1771692,2026-07-13
104348,M,2026-07-13,11416,32325,18,60825,18902,754614,2026-07-13
780740,F,2026-07-13,9327,31878,19,32626,15985,316179,2026-07-13
985215,F,2026-07-13,28403,4942,23,82022,37565,1022511,2026-07-13
714147,F,2026-07-13,63832,44608,26,6160,5522,16588,2026-07-13
785266,M,2026-07-13,8894,15145,11,19994,3476,181698,2026-07-13
116409,F,2026-07-13,44926,49738,12,85785,61537,290976,2026-07-13
355523,F,2026-07-13,11579,36160,66,74583,23963,3340920,2026-07-13
891038,F,2026-07-13,32594,5963,5,82625,63822,94015,2026-07-13
680176,F,2026-07-13,68942,17570,1,80950,38174,42776,2026-07-13
15016,F,2026-07-13,72257,16777,79,74464,9255,5151511,2026-07-13
185047,M,2026-07-13,11189,45145,28,25349,10661,411264,2026-07-13
583809,F,2026-07-13,41349,30173,22,55972,46034,218636,2026-07-13
495687,M,2026-07-13,45128,46381,3,23818,6303,52545,2026-07-13
258324,M,2026-07-13,45340,44775,26,5186,1865,86346,2026-07-13
822190,M,2026-07-13,77387,12623,90,29985,28998,88830,2026-07-13
313523,M,2026-07-13,34700,25127,2,55148,33343,43610,2026-07-13
196855,M,2026-07-13,30095,47616,16,39123,25483,218240,2026-07-13
199746,F,2026-07-13,27345,8903,83,20803,1380,1612109,2026-07-13
723631,M,2026-07-13,41106,27057,0,54416,24644,0,2026-07-13
735911,F,2026-07-13,75366,49354,33,14050,8318,189156,2026-07-13
253942,F,2026-07-13,76703,28242,0,94864,5027,0,2026-07-13
565843,M,2026-07-13,15884,26886,62,39069,23772,948414,2026-07-13
697597,F,2026-07-13,18023,13074,0,28450,23591,0,2026-07-13
37936,M,2026-07-13,77199,6589,85,11181,3001,695300,2026-07-13
676894,F,2026-07-13,35518,31746,45,61041,47017,631080,2026-07-13
427200,M,2026-07-13,8284,15651,15,93711,55177,578010,2026-07-13
55429,M,2026-07-13,585,18124,25,14565,9,363900,2026-07-13
529077,F,2026-07-13,15495,26671,53,66739,58882,416421,2026-07-13
684829,F,2026-07-13,37627,40239,59,94401,92735,98294,2026-07-13
823555,F,2026-07-13,74285,14936,20,43559,4942,772340,2026-07-13
716012,F,2026-07-13,64817,4439,14,63810,22005,585270,2026-07-13
187643,M,2026-07-13,49048,1495,5,66746,63145,18005,2026-07-13
856799,M,2026-07-13,46328,20872,3,90434,54147,108861,2026-07-13
637086,M,2026-07-13,45198,12225,50,15213,10765,222400,2026-07-13
818968,M,2026-07-13,20516,5027,5,20216,1117,95495,2026-07-13
346984,M,2026-07-13,27209,36894,23,67043,44409,520582,2026-07-13
426876,M,2026-07-13,26692,4697,24,31348,5096,630048,2026-07-13
957849,F,2026-07-13,68034,21709,11,78042,58764,212058,2026-07-13
199107,F,2026-07-13,84200,4572,2,83428,8764,149328,2026-07-13
327696,M,2026-07-13,86196,26844,72,81505,110,5860440,2026-07-13
646713,M,2026-07-13,7606,10735,30,9793,5079,141420,2026-07-13
640427,F,2026-07-13,57486,32277,36,79095,22811,2026224,2026-07-13
881119,M,2026-07-13,52052,14701,17,90835,3946,1477113,2026-07-13
943208,M,2026-07-13,43255,13156,16,86186,6784,1270432,2026-07-13
569257,M,2026-07-13,70405,40765,15,48979,14761,513270,2026-07-13
822201,F,2026-07-13,33482,46246,13,526,15,6643,2026-07-13
824793,F,2026-07-13,39313,27397,30,65343,36313,870900,2026-07-13
175557,F,2026-07-13,74302,37751,39,69397,41856,1074099,2026-07-13
644029,M,2026-07-13,9398,10546,15,41989,34887,106530,2026-07-13
218310,M,2026-07-13,38890,7847,14,6435,5983,6328,2026-07-13
852994,F,2026-07-13,24938,5420,7,20410,6643,96369,2026-07-13
856314,F,2026-07-13,53180,32167,41,89280,62396,1102244,2026-07-13
659162,F,2026-07-13,5169,33373,31,52447,32115,630292,2026-07-13
665449,M,2026-07-13,25481,34489,4,86989,46344,162580,2026-07-13
227360,M,2026-07-13,22384,43898,66,16787,13345,227172,2026-07-13
149680,F,2026-07-13,2233,35708,30,55281,15081,1206000,2026-07-13
808424,F,2026-07-13,11569,41818,49,30036,4483,1252097,2026-07-13
387284,F,2026-07-13,52770,33653,10,79572,12523,670490,2026-07-13
669586,M,2026-07-13,32538,35412,17,21707,10098,197353,2026-07-13
474135,F,2026-07-13,58982,24805,29,18993,5273,397880,2026-07-13
993107,F,2026-07-13,78408,38459,46,77138,71447,261786,2026-07-13
720493,F,2026-07-13,31218,37551,19,14364,7386,132582,2026-07-13
326496,F,2026-07-13,66046,9575,58,91340,24869,3855318,2026-07-13
354464,F,2026-07-13,74782,7092,66,70434,32151,2526678,2026-07-13
516384,F,2026-07-13,25713,38751,8,15590,12056,28272,2026-07-13
521799,F,2026-07-13,10937,24862,7,85151,7670,542367,2026-07-13
51793,F,2026-07-13,54255,14641,24,54737,9877,1076640,2026-07-13
801357,F,2026-07-13,41562,21720,77,91025,80014,847847,2026-07-13
133520,M,2026-07-13,21225,41034,44,96480,60904,1565344,2026-07-13
207666,M,2026-07-13,72830,44838,18,85560,78001,136062,2026-07-13
340123,F,2026-07-13,2212,1743,41,43584,34568,369656,2026-07-13
795664,M,2026-07-13,32553,29841,63,48707,23145,1610406,2026-07-13
674424,F,2026-07-13,4540,489,16,81561,29289,836352,2026-07-13
953082,F,2026-07-13,86197,19933,62,85906,9292,4750068,2026-07-13
428118,M,2026-07-13,51691,39088,31,57788,56147,50871,2026-07-13
475459,M,2026-07-13,8800,5127,29,80424,76693,108199,2026-07-13
87516,F,2026-07-13,19062,296,37,19149,17299,68450,2026-07-13
93589,F,2026-07-13,69688,43489,31,56714,9295,1469989,2026-07-13
169637,F,2026-07-13,53954,35268,66,36188,27474,575124,2026-07-13
371065,F,2026-07-13,66650,12023,25,93306,25840,1686650,2026-07-13
9180,M,2026-07-13,82608,49752,28,93831,83208,297444,2026-07-13
451970,F,2026-07-13,74752,25471,31,23310,778,698492,2026-07-13
97457,M,2026-07-13,75905,29664,60,35275,9116,1569540,2026-07-13
469931,M,2026-07-13,13563,2877,30,27973,23302,140130,2026-07-13
259604,F,2026-07-13,50618,43809,25,34301,9062,630975,2026-07-13
34311,F,2026-07-13,63041,37208,3,77030,75033,5991,2026-07-13
572907,F,2026-07-13,39007,28595,38,80132,6077,2814090,2026-07-13
606087,F,2026-07-13,53070,32173,1,29085,3234,25851,2026-07-13
105403,F,2026-07-13,65336,10396,65,64621,25836,2521025,2026-07-13
464872,F,2026-07-13,8287,3432,0,86967,52174,0,2026-07-13
537676,M,2026-07-13,55129,28795,81,1865,1177,55728,2026-07-13
734689,M,2026-07-13,74692,1639,64,99738,9245,5791552,2026-07-13
915433,F,2026-07-13,26554,28271,35,95781,2822,3253565,2026-07-13
315295,M,2026-07-13,59574,25188,9,54146,46133,72117,2026-07-13
863763,F,2026-07-13,65181,30018,10,13016,12599,4170,2026-07-13
53991,F,2026-07-13,19674,27584,10,80927,17975,629520,2026-07-13
822507,M,2026-07-13,31609,12716,0,81910,81416,0,2026-07-13
560876,F,2026-07-13,26774,27297,14,83794,78930,68096,2026-07-13
503770,F,2026-07-13,51173,21953,42,91240,1877,3753246,2026-07-13
730258,F,2026-07-13,12311,9944,6,64385,7046,344034,2026-07-13
477339,M,2026-07-13,47499,19910,28,7575,1577,167944,2026-07-13
977064,F,2026-07-13,42086,2021,33,82795,34196,1603767,2026-07-13
377326,F,2026-07-13,14052,40083,60,48841,3617,2713440,2026-07-13
607614,F,2026-07-13,53715,45172,48,91321,65790,1225488,2026-07-13
521778,M,2026-07-13,72851,49635,43,37253,4657,1401628,2026-07-13
363354,M,2026-07-13,32413,39789,22,12288,7862,97372,2026-07-13
308971,F,2026-07-13,26424,13936,24,40298,19575,497352,2026-07-13
76976,M,2026-07-13,81433,26210,33,50466,47606,94380,2026-07-13
350049,F,2026-07-13,77586,1368,24,43158,8163,839880,2026-07-13
716993,F,2026-07-13,47745,46747,12,77194,26845,604188,2026-07-13
381847,F,2026-07-13,15293,29226,15,38426,18300,301890,2026-07-13
740299,M,2026-07-13,74725,40306,71,32584,20786,837658,2026-07-13
231436,M,2026-07-13,37769,23177,78,43856,6193,2937714,2026-07-13
139077,M,2026-07-13,62014,41501,48,16523,14593,92640,2026-07-13
905948,M,2026-07-13,86302,14985,29,23544,21596,56492,2026-07-13
7258,F,2026-07-13,58849,30977,7,31051,24305,47222,2026-07-13
860975,F,2026-07-13,25408,31180,29,20744,10364,301020,2026-07-13
775185,M,2026-07-13,58753,32963,5,654,524,650,2026-07-13
559789,M,2026-07-13,81984,4782,45,60566,18078,1911960,2026-07-13
470634,F,2026-07-13,70182,26501,25,7810,6281,38225,2026-07-13
669404,M,2026-07-13,51,42737,37,19702,866,696932,2026-07-13
929530,M,2026-07-13,6079,3409,40,61712,13361,1934040,2026-07-13
